Item Code,Item Name,Division,Vertical,Brand
74277,AASTHA BACKFLOW DHOOP CONE LOBAN-160 GM,AASTHA DIVISION,DRY DHOOP,BACKFLOW-160 GM
74517,AASTHA BACKFLOW DHOOPCONE VRINDAVAN-160G,AASTHA DIVISION,DRY DHOOP,BACKFLOW-160 GM
80551,Haridra Khand 100 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
80557,Kaishore Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
80566,Divya Peedantak Vati 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
80568,Divya Swasari Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81441,Akik Pishti 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81461,Divya Ashmarihar Ras 50 Gm,PHARMACY,MEDICINES,Churna
81469,Divya Peedantak Kwath 100 Gm,PHARMACY,MEDICINES,ASAV & KWATH
81470,Divya Peedantak Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81476,Ekangveer Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81483,Hazrulyahud Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81484,Heerak Bhasma (300mg) 0.3 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81485,Jaharmohra Pishti 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81491,Kanchnar Guggul 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81492,Kapardak Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81494,DIVYA KAHARAVA PISHTI- 5GM,PHARMACY,MEDICINES,BHASMA & NPDs
81498,Kumar Kalyan Ras 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81502,Lakshadi Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81503,Lauh Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81504,Lavangadi Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81511,Mahavat Vidhvansan Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81522,Shila Sindoor Ras 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81532,NAVAYAS LAUH 10 GM,PHARMACY,MEDICINES,BHASMA & NPDs
81540,PANCHAMRIT PARPATI 5GM,PHARMACY,MEDICINES,BHASMA & NPDs
81546,Tal Sindoor 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81547,Praval Panchamrit Ras 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81548,Tamra Bhasma 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81550,Tamra Sindoor 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81553,DIVYA PTRANGASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
81554,Totala Kwath 100 Gm,PHARMACY,MEDICINES,ASAV & KWATH
81560,Triphala Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81565,Rajat Bhasma 2 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81566,Ras Manikya 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81569,Triyodashang Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81574,DIVYA USIRASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
81577,Sangeyasav Pishti 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81585,Sarivadi Vati 160 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81586,Shankh Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81592,Yogendra Ras 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs
81596,Kaishore Guggul 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81614,Gokshuradi Guggul 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL
81848,Divya Denguenil Vati 80 Tab.,FOOD,MEDICINES,VATI & GUGGAL
82898,DIVYA CARDIOGRIT GOLD 20 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
82903,DIVYA SANTATI SUDHA 60 N - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
83031,JIGGLE WIGGLE TOOTHBRUSH - T,NON FOOD,HOME CARE,TOOTHBRUSH
83032,JUNIOR SMILEY TOOTHBRUSH - T,NON FOOD,HOME CARE,TOOTHBRUSH
